Year,OLS3,OLS,Ridge,Lasso,ElasticNet
2016,0.06780904181747882,0.07778300002114036,0.07556796711445635,0.07556796711445635,0.07346171556142889
2017,0.058151712516772536,0.02239393570421533,0.04414474773645016,0.04414474773645016,0.044455396345805975
2018,0.07779733266862665,0.0705459155350634,0.07169961241664946,0.07169961241664946,0.07167108373056474
2019,0.0628988554345582,0.06354291116853239,0.06876957002759865,0.06876957002759865,0.06875389429570977
2020,0.026308465987322394,0.02730414109751833,0.02604863048480366,0.02604863048480366,0.026060183164534956
2021,0.030128789886509355,-0.23497233811423368,0.022862627699255955,0.022862627699255955,0.02289142016458645
2022,0.06932402850752117,0.05444772514436369,0.06689453220326769,0.06689453220326769,0.06688296301286212
2023,0.004259932705777403,-0.00842888579609391,0.0004403530561242208,0.0004403530561242208,0.00046982758100577726
