Year,R2,MSE,N_Weeks
2017,0.21209250407028568,0.00020765961686369425,2392
2018,0.11845573396824305,0.00046048059940335213,2392
2019,0.1641771093299016,0.0003536009402611396,2392
2020,0.04207748931746769,0.0008026158584179679,2392
2021,-0.01355153187556457,0.0003432814157210399,2438
2022,0.03632298472873041,0.0007713183824842895,2392
2023,0.051993546919107736,0.0004387811999653146,2392
