train_start,train_end,val_start,val_end,overall_r2,model
1990-01-01,2015-12-31,2016-01-01,2016-12-31,-1.0280962522762827,Random Walk
1991-01-01,2016-12-31,2017-01-01,2017-12-31,-0.9757310205236289,Random Walk
1992-01-01,2017-12-31,2018-01-01,2018-12-31,-1.041767215278445,Random Walk
1993-01-01,2018-12-31,2019-01-01,2019-12-31,-1.0620946128966469,Random Walk
1994-01-01,2019-12-31,2020-01-01,2020-12-31,-1.2654190181565963,Random Walk
1995-01-01,2020-12-31,2021-01-01,2021-12-31,-0.901157593508376,Random Walk
1996-01-01,2021-12-31,2022-01-01,2022-12-31,-0.7947920306991507,Random Walk
1997-01-01,2022-12-31,2023-01-01,2023-12-29,-0.9620870121888152,Random Walk
