,TBL,TMS,DFY
1990-01-01,,,0.95
1990-01-02,7.58,0.36,0.95
1990-01-03,7.63,0.36,0.95
1990-01-04,7.59,0.39,0.95
1990-01-05,7.54,0.45,0.95
1990-01-08,7.54,0.48,0.95
1990-01-09,7.55,0.47,0.95
1990-01-10,7.5,0.53,0.95
1990-01-11,7.55,0.49,0.95
1990-01-12,7.5,0.6,0.95
1990-01-15,7.5,0.6,0.95
1990-01-16,7.63,0.57,0.95
1990-01-17,7.71,0.48,0.95
1990-01-18,7.78,0.54,0.95
1990-01-19,7.74,0.52,0.95
1990-01-22,7.73,0.54,0.95
1990-01-23,7.67,0.59,0.95
1990-01-24,7.67,0.71,0.95
1990-01-25,7.69,0.73,0.95
1990-01-26,7.68,0.81,0.95
1990-01-29,7.74,0.76,0.95
1990-01-30,7.74,0.77,0.95
1990-01-31,7.74,0.69,0.95
1990-02-01,7.76,0.66,0.92
1990-02-02,7.81,0.69,0.92
1990-02-05,7.82,0.71,0.92
1990-02-06,7.82,0.75,0.92
1990-02-07,7.81,0.71,0.92
1990-02-08,7.81,0.68,0.92
1990-02-09,7.76,0.55,0.92
1990-02-12,7.73,0.67,0.92
1990-02-13,7.58,0.77,0.92
1990-02-14,7.61,0.75,0.92
1990-02-15,7.71,0.72,0.92
1990-02-16,7.69,0.73,0.92
1990-02-19,7.69,0.73,0.92
1990-02-20,7.8,0.82,0.92
1990-02-21,7.75,0.87,0.92
1990-02-22,7.73,0.81,0.92
1990-02-23,7.68,0.85,0.92
1990-02-26,7.71,0.75,0.92
1990-02-27,7.73,0.68,0.92
1990-02-28,7.77,0.74,0.92
1990-03-01,7.81,0.78,0.84
1990-03-02,7.76,0.78,0.84
1990-03-05,7.82,0.83,0.84
1990-03-06,7.9,0.69,0.84
1990-03-07,7.91,0.67,0.84
1990-03-08,7.91,0.66,0.84
1990-03-09,7.99,0.66,0.84
1990-03-12,7.99,0.64,0.84
1990-03-13,7.98,0.75,0.84
1990-03-14,7.95,0.7,0.84
1990-03-15,7.94,0.72,0.84
1990-03-16,7.92,0.67,0.84
1990-03-19,7.94,0.65,0.84
1990-03-20,7.97,0.57,0.84
1990-03-21,7.95,0.6,0.84
1990-03-22,7.9,0.63,0.84
1990-03-23,7.88,0.64,0.84
1990-03-26,7.86,0.65,0.84
1990-03-27,7.9,0.62,0.84
1990-03-28,7.85,0.66,0.84
1990-03-29,7.83,0.77,0.84
1990-03-30,7.8,0.85,0.84
1990-04-01,7.8,0.85,0.84
1990-04-02,7.78,0.87,0.84
1990-04-03,7.82,0.81,0.84
1990-04-04,7.75,0.8,0.84
1990-04-05,7.76,0.81,0.84
1990-04-06,7.76,0.8,0.84
1990-04-09,7.82,0.77,0.84
1990-04-10,7.78,0.82,0.84
1990-04-11,7.76,0.87,0.84
1990-04-12,7.76,0.88,0.84
1990-04-13,7.76,0.88,0.84
1990-04-16,7.74,0.94,0.84
1990-04-17,7.76,1.01,0.84
1990-04-18,7.81,1.05,0.84
1990-04-19,7.79,1.08,0.84
1990-04-20,7.69,1.26,0.84
1990-04-23,7.73,1.25,0.84
1990-04-24,7.76,1.24,0.84
1990-04-25,7.79,1.22,0.84
1990-04-26,7.82,1.25,0.84
1990-04-27,7.79,1.27,0.84
1990-04-30,7.79,1.25,0.84
1990-05-01,7.92,1.16,0.94
1990-05-02,7.9,1.19,0.94
1990-05-03,7.88,1.16,0.94
1990-05-04,7.76,1.08,0.94
1990-05-07,7.82,1.05,0.94
1990-05-08,7.79,1.05,0.94
1990-05-09,7.75,1.13,0.94
1990-05-10,7.71,1.11,0.94
1990-05-11,7.62,1.02,0.94
1990-05-14,7.63,0.98,0.94
1990-05-15,7.65,1.0,0.94
1990-05-16,7.67,1.01,0.94
1990-05-17,7.67,1.02,0.94
1990-05-18,7.75,1.0,0.94
1990-05-21,7.75,0.99,0.94
1990-05-22,7.73,0.92,0.94
1990-05-23,7.65,0.96,0.94
1990-05-24,7.69,0.94,0.94
1990-05-25,7.75,0.94,0.94
1990-05-28,7.75,0.94,0.94
1990-05-29,7.75,0.91,0.94
1990-05-30,7.76,0.86,0.94
1990-05-31,7.75,0.85,0.94
1990-06-01,7.68,0.76,0.96
1990-06-04,7.7,0.74,0.96
1990-06-05,7.7,0.77,0.96
1990-06-06,7.7,0.76,0.96
1990-06-07,7.7,0.76,0.96
1990-06-08,7.7,0.76,0.96
1990-06-11,7.73,0.75,0.96
1990-06-12,7.73,0.75,0.96
1990-06-13,7.67,0.73,0.96
1990-06-14,7.66,0.72,0.96
1990-06-15,7.69,0.77,0.96
1990-06-18,7.67,0.83,0.96
1990-06-19,7.74,0.77,0.96
1990-06-20,7.76,0.79,0.96
1990-06-21,7.77,0.75,0.96
1990-06-22,7.78,0.73,0.96
1990-06-25,7.79,0.79,0.96
1990-06-26,7.8,0.76,0.96
1990-06-27,7.78,0.74,0.96
1990-06-28,7.74,0.73,0.96
1990-06-29,7.74,0.69,0.96
1990-07-01,7.74,0.69,0.96
1990-07-02,7.74,0.69,0.96
1990-07-03,7.7,0.7,0.96
1990-07-04,7.7,0.7,0.96
1990-07-05,7.66,0.76,0.96
1990-07-06,7.75,0.76,0.96
1990-07-09,7.8,0.77,0.96
1990-07-10,7.8,0.77,0.96
1990-07-11,7.78,0.79,0.96
1990-07-12,7.68,0.82,0.96
1990-07-13,7.6,0.85,0.96
1990-07-16,7.61,0.83,0.96
1990-07-17,7.61,0.83,0.96
1990-07-18,7.55,0.95,0.96
1990-07-19,7.54,0.97,0.96
1990-07-20,7.54,0.94,0.96
1990-07-23,7.48,1.0,0.96
1990-07-24,7.53,1.0,0.96
1990-07-25,7.56,0.93,0.96
1990-07-26,7.58,0.91,0.96
1990-07-27,7.52,0.9,0.96
1990-07-30,7.5,0.84,0.96
1990-07-31,7.49,0.87,0.96
1990-08-01,7.42,0.87,1.0
1990-08-02,7.43,0.98,1.0
1990-08-03,7.29,1.14,1.0
1990-08-06,7.3,1.41,1.0
1990-08-07,7.37,1.41,1.0
1990-08-08,7.38,1.39,1.0
1990-08-09,7.41,1.25,1.0
1990-08-10,7.4,1.28,1.0
1990-08-13,7.42,1.29,1.0
1990-08-14,7.43,1.23,1.0
1990-08-15,7.45,1.19,1.0
1990-08-16,7.48,1.28,1.0
1990-08-17,7.47,1.33,1.0
1990-08-20,7.52,1.29,1.0
1990-08-21,7.57,1.27,1.0
1990-08-22,7.59,1.32,1.0
1990-08-23,7.54,1.46,1.0
1990-08-24,7.49,1.56,1.0
1990-08-27,7.53,1.37,1.0
1990-08-28,7.48,1.46,1.0
1990-08-29,7.47,1.37,1.0
1990-08-30,7.45,1.41,1.0
1990-08-31,7.39,1.47,1.0
1990-09-01,7.39,1.47,1.08
1990-09-03,7.39,1.47,1.08
1990-09-04,7.39,1.51,1.08
1990-09-05,7.37,1.49,1.08
1990-09-06,7.38,1.46,1.08
1990-09-07,7.39,1.42,1.08
1990-09-10,7.43,1.42,1.08
1990-09-11,7.42,1.41,1.08
1990-09-12,7.37,1.45,1.08
1990-09-13,7.35,1.47,1.08
1990-09-14,7.35,1.52,1.08
1990-09-17,7.37,1.53,1.08
1990-09-18,7.37,1.53,1.08
1990-09-19,7.39,1.49,1.08
1990-09-20,7.39,1.52,1.08
1990-09-21,7.36,1.63,1.08
1990-09-24,7.38,1.66,1.08
1990-09-25,7.35,1.67,1.08
1990-09-26,7.33,1.67,1.08
1990-09-27,7.23,1.68,1.08
1990-09-28,7.14,1.68,1.08
1990-10-01,7.13,1.58,1.21
1990-10-02,7.18,1.51,1.21
1990-10-03,7.15,1.56,1.21
1990-10-04,7.13,1.54,1.21
1990-10-05,7.04,1.61,1.21
1990-10-08,7.04,1.61,1.21
1990-10-09,7.17,1.66,1.21
1990-10-10,7.2,1.69,1.21
1990-10-11,7.12,1.8,1.21
1990-10-12,7.14,1.7,1.21
1990-10-15,7.16,1.64,1.21
1990-10-16,7.16,1.63,1.21
1990-10-17,7.2,1.56,1.21
1990-10-18,7.25,1.46,1.21
1990-10-19,7.25,1.37,1.21
1990-10-22,7.23,1.4,1.21
1990-10-23,7.21,1.44,1.21
1990-10-24,7.22,1.44,1.21
1990-10-25,7.18,1.44,1.21
1990-10-26,7.13,1.5,1.21
1990-10-29,7.15,1.55,1.21
1990-10-30,7.14,1.56,1.21
1990-10-31,7.11,1.54,1.21
1990-11-01,7.05,1.52,1.32
1990-11-02,7.08,1.49,1.32
1990-11-05,7.08,1.42,1.32
1990-11-06,7.08,1.44,1.32
1990-11-07,7.09,1.48,1.32
1990-11-08,7.09,1.49,1.32
1990-11-09,7.05,1.44,1.32
1990-11-12,7.05,1.44,1.32
1990-11-13,7.04,1.33,1.32
1990-11-14,7.07,1.29,1.32
1990-11-15,7.09,1.28,1.32
1990-11-16,7.08,1.22,1.32
1990-11-19,7.1,1.25,1.32
1990-11-20,7.09,1.22,1.32
1990-11-21,7.04,1.23,1.32
1990-11-22,7.04,1.23,1.32
1990-11-23,7.03,1.25,1.32
1990-11-26,7.03,1.24,1.32
1990-11-27,7.04,1.24,1.32
1990-11-28,7.06,1.24,1.32
1990-11-29,7.03,1.29,1.32
1990-11-30,7.02,1.24,1.32
1990-12-01,7.02,1.24,1.38
1990-12-03,7.05,1.17,1.38
1990-12-04,7.01,1.19,1.38
1990-12-05,7.0,1.16,1.38
1990-12-06,7.0,1.18,1.38
1990-12-07,6.89,1.14,1.38
1990-12-10,6.86,1.12,1.38
1990-12-11,6.84,1.1,1.38
1990-12-12,6.79,1.12,1.38
1990-12-13,6.83,1.15,1.38
1990-12-14,6.85,1.2,1.38
1990-12-17,6.81,1.21,1.38
1990-12-18,6.73,1.26,1.38
1990-12-19,6.62,1.38,1.38
1990-12-20,6.55,1.5,1.38
1990-12-21,6.59,1.52,1.38
1990-12-24,6.53,1.67,1.38
1990-12-25,6.53,1.67,1.38
1990-12-26,6.48,1.67,1.38
1990-12-27,6.47,1.64,1.38
1990-12-28,6.45,1.69,1.38
1990-12-31,6.44,1.64,1.38
1991-01-01,6.44,1.64,1.41
1991-01-02,6.46,1.51,1.41
1991-01-03,6.44,1.49,1.41
1991-01-04,6.53,1.49,1.41
1991-01-07,6.51,1.62,1.41
1991-01-08,6.44,1.72,1.41
1991-01-09,6.25,2.0,1.41
1991-01-10,6.21,1.95,1.41
1991-01-11,6.16,2.04,1.41
1991-01-14,6.05,2.18,1.41
1991-01-15,6.05,2.17,1.41
1991-01-16,6.04,2.2,1.41
1991-01-17,6.12,1.93,1.41
1991-01-18,6.07,1.96,1.41
1991-01-21,6.07,1.96,1.41
1991-01-22,6.05,2.02,1.41
1991-01-23,6.14,1.9,1.41
1991-01-24,6.13,1.87,1.41
1991-01-25,6.17,1.89,1.41
1991-01-28,6.25,1.81,1.41
1991-01-29,6.22,1.81,1.41
1991-01-30,6.2,1.85,1.41
1991-01-31,6.19,1.84,1.41
1991-02-01,6.0,1.91,1.24
1991-02-04,5.98,1.9,1.24
1991-02-05,5.97,1.88,1.24
1991-02-06,5.91,1.88,1.24
1991-02-07,5.94,1.88,1.24
1991-02-08,5.92,1.85,1.24
1991-02-11,5.88,1.9,1.24
1991-02-12,5.85,1.93,1.24
1991-02-13,5.86,1.92,1.24
1991-02-14,5.85,1.95,1.24
1991-02-15,5.91,1.87,1.24
1991-02-18,5.91,1.87,1.24
1991-02-19,5.96,1.84,1.24
1991-02-20,5.94,1.9,1.24
1991-02-21,5.92,1.96,1.24
1991-02-22,5.95,1.96,1.24
1991-02-25,5.99,1.92,1.24
1991-02-26,6.04,1.92,1.24
1991-02-27,6.03,1.95,1.24
1991-02-28,6.04,1.98,1.24
1991-03-01,6.09,2.03,1.16
1991-03-04,6.06,2.06,1.16
1991-03-05,6.05,2.03,1.16
1991-03-06,6.08,2.03,1.16
1991-03-07,6.07,2.0,1.16
1991-03-08,5.97,2.16,1.16
1991-03-11,5.89,2.17,1.16
1991-03-12,5.86,2.23,1.16
1991-03-13,5.83,2.19,1.16
1991-03-14,5.76,2.26,1.16
1991-03-15,5.8,2.3,1.16
1991-03-18,5.84,2.31,1.16
1991-03-19,5.89,2.36,1.16
1991-03-20,5.88,2.32,1.16
1991-03-21,5.87,2.29,1.16
1991-03-22,5.87,2.26,1.16
1991-03-25,5.88,2.25,1.16
1991-03-26,5.86,2.27,1.16
1991-03-27,5.81,2.27,1.16
1991-03-28,5.74,2.31,1.16
1991-03-29,5.74,2.31,1.16
1991-04-01,5.76,2.31,1.08
1991-04-02,5.77,2.26,1.08
1991-04-03,5.77,2.28,1.08
1991-04-04,5.74,2.26,1.08
1991-04-05,5.71,2.28,1.08
1991-04-08,5.65,2.33,1.08
1991-04-09,5.61,2.42,1.08
1991-04-10,5.61,2.49,1.08
1991-04-11,5.57,2.52,1.08
1991-04-12,5.51,2.47,1.08
1991-04-15,5.59,2.36,1.08
1991-04-16,5.61,2.36,1.08
1991-04-17,5.56,2.39,1.08
1991-04-18,5.66,2.36,1.08
1991-04-19,5.75,2.35,1.08
1991-04-22,5.69,2.46,1.08
1991-04-23,5.71,2.41,1.08
1991-04-24,5.66,2.4,1.08
1991-04-25,5.61,2.46,1.08
1991-04-26,5.62,2.44,1.08
1991-04-29,5.59,2.48,1.08
1991-04-30,5.51,2.51,1.08
1991-05-01,5.54,2.47,1.0
1991-05-02,5.46,2.51,1.0
1991-05-03,5.47,2.57,1.0
1991-05-06,5.46,2.59,1.0
1991-05-07,5.5,2.56,1.0
1991-05-08,5.5,2.54,1.0
1991-05-09,5.48,2.54,1.0
1991-05-10,5.48,2.64,1.0
1991-05-13,5.47,2.6,1.0
1991-05-14,5.49,2.65,1.0
1991-05-15,5.45,2.68,1.0
1991-05-16,5.4,2.72,1.0
1991-05-17,5.4,2.68,1.0
1991-05-20,5.45,2.65,1.0
1991-05-21,5.5,2.56,1.0
1991-05-22,5.46,2.6,1.0
1991-05-23,5.4,2.7,1.0
1991-05-24,5.4,2.7,1.0
1991-05-27,5.4,2.7,1.0
1991-05-28,5.4,2.67,1.0
1991-05-29,5.45,2.62,1.0
1991-05-30,5.45,2.57,1.0
1991-05-31,5.53,2.53,1.0
1991-06-01,5.53,2.53,0.95
1991-06-03,5.6,2.54,0.95
1991-06-04,5.57,2.57,0.95
1991-06-05,5.59,2.6,0.95
1991-06-06,5.56,2.67,0.95
1991-06-07,5.56,2.73,0.95
1991-06-10,5.58,2.71,0.95
1991-06-11,5.57,2.72,0.95
1991-06-12,5.56,2.8,0.95
1991-06-13,5.58,2.76,0.95
1991-06-14,5.59,2.7,0.95
1991-06-17,5.59,2.71,0.95
1991-06-18,5.62,2.7,0.95
1991-06-19,5.57,2.76,0.95
1991-06-20,5.56,2.74,0.95
1991-06-21,5.57,2.75,0.95
1991-06-24,5.56,2.77,0.95
1991-06-25,5.58,2.75,0.95
1991-06-26,5.56,2.77,0.95
1991-06-27,5.55,2.77,0.95
1991-06-28,5.54,2.7,0.95
1991-07-01,5.58,2.68,0.89
1991-07-02,5.58,2.69,0.89
1991-07-03,5.56,2.7,0.89
1991-07-04,5.56,2.7,0.89
1991-07-05,5.58,2.76,0.89
1991-07-08,5.57,2.77,0.89
1991-07-09,5.59,2.77,0.89
1991-07-10,5.58,2.77,0.89
1991-07-11,5.56,2.74,0.89
1991-07-12,5.55,2.71,0.89
1991-07-15,5.57,2.69,0.89
1991-07-16,5.59,2.68,0.89
1991-07-17,5.61,2.69,0.89
1991-07-18,5.59,2.72,0.89
1991-07-19,5.58,2.7,0.89
1991-07-22,5.57,2.71,0.89
1991-07-23,5.59,2.72,0.89
1991-07-24,5.58,2.66,0.89
1991-07-25,5.58,2.62,0.89
1991-07-26,5.58,2.62,0.89
1991-07-29,5.57,2.63,0.89
1991-07-30,5.56,2.65,0.89
1991-07-31,5.53,2.67,0.89
1991-08-01,5.55,2.65,0.9
1991-08-02,5.46,2.6,0.9
1991-08-05,5.5,2.54,0.9
1991-08-06,5.41,2.56,0.9
1991-08-07,5.38,2.55,0.9
1991-08-08,5.37,2.61,0.9
1991-08-09,5.32,2.66,0.9
1991-08-12,5.31,2.64,0.9
1991-08-13,5.29,2.62,0.9
1991-08-14,5.29,2.53,0.9
1991-08-15,5.3,2.54,0.9
1991-08-16,5.26,2.58,0.9
1991-08-19,5.11,2.72,0.9
1991-08-20,5.11,2.7,0.9
1991-08-21,5.28,2.52,0.9
1991-08-22,5.31,2.47,0.9
1991-08-23,5.39,2.49,0.9
1991-08-26,5.41,2.5,0.9
1991-08-27,5.38,2.51,0.9
1991-08-28,5.3,2.52,0.9
1991-08-29,5.27,2.47,0.9
1991-08-30,5.33,2.49,0.9
1991-09-01,5.33,2.49,0.9
1991-09-02,5.33,2.49,0.9
1991-09-03,5.34,2.47,0.9
1991-09-04,5.33,2.48,0.9
1991-09-05,5.32,2.51,0.9
1991-09-06,5.29,2.47,0.9
1991-09-09,5.28,2.45,0.9
1991-09-10,5.24,2.49,0.9
1991-09-11,5.26,2.48,0.9
1991-09-12,5.22,2.45,0.9
1991-09-13,5.16,2.5,0.9
1991-09-16,5.18,2.45,0.9
1991-09-17,5.19,2.43,0.9
1991-09-18,5.18,2.44,0.9
1991-09-19,5.2,2.41,0.9
1991-09-20,5.19,2.38,0.9
1991-09-23,5.21,2.34,0.9
1991-09-24,5.17,2.39,0.9
1991-09-25,5.17,2.41,0.9
1991-09-26,5.13,2.43,0.9
1991-09-27,5.13,2.36,0.9
1991-09-30,5.11,2.36,0.9
1991-10-01,5.1,2.35,0.94
1991-10-02,5.09,2.38,0.94
1991-10-03,5.04,2.43,0.94
1991-10-04,5.02,2.37,0.94
1991-10-07,5.02,2.38,0.94
1991-10-08,5.02,2.41,0.94
1991-10-09,5.01,2.5,0.94
1991-10-10,5.03,2.55,0.94
1991-10-11,4.99,2.5,0.94
1991-10-14,4.99,2.5,0.94
1991-10-15,4.96,2.5,0.94
1991-10-16,4.97,2.48,0.94
1991-10-17,5.03,2.52,0.94
1991-10-18,5.03,2.5,0.94
1991-10-21,5.04,2.58,0.94
1991-10-22,5.06,2.61,0.94
1991-10-23,5.04,2.65,0.94
1991-10-24,4.97,2.68,0.94
1991-10-25,4.96,2.72,0.94
1991-10-28,4.94,2.71,0.94
1991-10-29,4.89,2.62,0.94
1991-10-30,4.84,2.64,0.94
1991-10-31,4.82,2.65,0.94
1991-11-01,4.75,2.73,0.97
1991-11-04,4.74,2.76,0.97
1991-11-05,4.76,2.8,0.97
1991-11-06,4.63,2.88,0.97
1991-11-07,4.63,2.8,0.97
1991-11-08,4.62,2.79,0.97
1991-11-11,4.62,2.79,0.97
1991-11-12,4.62,2.75,0.97
1991-11-13,4.63,2.78,0.97
1991-11-14,4.63,2.72,0.97
1991-11-15,4.59,2.74,0.97
1991-11-18,4.58,2.75,0.97
1991-11-19,4.53,2.84,0.97
1991-11-20,4.49,2.89,0.97
1991-11-21,4.43,2.96,0.97
1991-11-22,4.42,3.02,0.97
1991-11-25,4.43,3.02,0.97
1991-11-26,4.4,3.02,0.97
1991-11-27,4.39,3.03,0.97
1991-11-28,4.39,3.03,0.97
1991-11-29,4.35,3.03,0.97
1991-12-01,4.35,3.03,0.95
1991-12-02,4.38,2.94,0.95
1991-12-03,4.36,2.92,0.95
1991-12-04,4.31,2.86,0.95
1991-12-05,4.31,2.9,0.95
1991-12-06,4.24,3.02,0.95
1991-12-09,4.15,3.07,0.95
1991-12-10,4.2,3.01,0.95
1991-12-11,4.15,3.07,0.95
1991-12-12,4.15,3.04,0.95
1991-12-13,4.15,3.07,0.95
1991-12-16,4.14,3.07,0.95
1991-12-17,4.11,3.07,0.95
1991-12-18,4.12,3.07,0.95
1991-12-19,4.04,3.07,0.95
1991-12-20,3.74,3.23,0.95
1991-12-23,3.76,3.12,0.95
1991-12-24,3.81,3.07,0.95
1991-12-25,3.81,3.07,0.95
1991-12-26,3.82,3.03,0.95
1991-12-27,3.86,2.96,0.95
1991-12-30,3.87,2.89,0.95
1991-12-31,3.88,2.83,0.95
1992-01-01,3.88,2.83,0.93
1992-01-02,3.86,2.92,0.93
1992-01-03,3.85,3.0,0.93
1992-01-06,3.81,3.01,0.93
1992-01-07,3.75,3.01,0.93
1992-01-08,3.72,3.05,0.93
1992-01-09,3.77,3.02,0.93
1992-01-10,3.82,3.03,0.93
1992-01-13,3.81,3.11,0.93
1992-01-14,3.82,3.21,0.93
1992-01-15,3.84,3.21,0.93
1992-01-16,3.79,3.34,0.93
1992-01-17,3.79,3.3,0.93
1992-01-20,3.79,3.3,0.93
1992-01-21,3.73,3.3,0.93
1992-01-22,3.75,3.34,0.93
1992-01-23,3.77,3.43,0.93
1992-01-24,3.81,3.44,0.93
1992-01-27,3.85,3.39,0.93
1992-01-28,3.83,3.33,0.93
1992-01-29,3.86,3.39,0.93
1992-01-30,3.83,3.48,0.93
1992-01-31,3.84,3.47,0.93
1992-02-01,3.84,3.47,0.94
1992-02-03,3.84,3.52,0.94
1992-02-04,3.84,3.45,0.94
1992-02-05,3.84,3.37,0.94
1992-02-06,3.81,3.39,0.94
1992-02-07,3.74,3.46,0.94
1992-02-10,3.73,3.48,0.94
1992-02-11,3.75,3.48,0.94
1992-02-12,3.75,3.55,0.94
1992-02-13,3.79,3.61,0.94
1992-02-14,3.79,3.62,0.94
1992-02-17,3.79,3.62,0.94
1992-02-18,3.81,3.66,0.94
1992-02-19,3.85,3.57,0.94
1992-02-20,3.88,3.53,0.94
1992-02-21,3.93,3.52,0.94
1992-02-24,3.93,3.54,0.94
1992-02-25,3.96,3.48,0.94
1992-02-26,3.94,3.39,0.94
1992-02-27,3.93,3.42,0.94
1992-02-28,3.93,3.34,0.94
1992-03-01,3.93,3.34,0.9
1992-03-02,4.03,3.35,0.9
1992-03-03,4.04,3.39,0.9
1992-03-04,4.03,3.4,0.9
1992-03-05,4.04,3.47,0.9
1992-03-06,4.04,3.44,0.9
1992-03-09,4.01,3.41,0.9
1992-03-10,4.01,3.42,0.9
1992-03-11,4.01,3.5,0.9
1992-03-12,4.02,3.6,0.9
1992-03-13,4.06,3.65,0.9
1992-03-16,4.06,3.63,0.9
1992-03-17,4.06,3.56,0.9
1992-03-18,4.05,3.57,0.9
1992-03-19,4.05,3.52,0.9
1992-03-20,4.06,3.58,0.9
1992-03-23,4.08,3.54,0.9
1992-03-24,4.05,3.48,0.9
1992-03-25,4.01,3.52,0.9
1992-03-26,4.01,3.56,0.9
1992-03-27,4.01,3.53,0.9
1992-03-30,4.01,3.53,0.9
1992-03-31,4.05,3.49,0.9
1992-04-01,4.01,3.45,0.88
1992-04-02,4.02,3.45,0.88
1992-04-03,3.96,3.46,0.88
1992-04-06,3.96,3.45,0.88
1992-04-07,3.87,3.54,0.88
1992-04-08,3.87,3.57,0.88
1992-04-09,3.66,3.69,0.88
1992-04-10,3.65,3.72,0.88
1992-04-13,3.62,3.71,0.88
1992-04-14,3.62,3.73,0.88
1992-04-15,3.62,3.75,0.88
1992-04-16,3.65,3.8,0.88
1992-04-17,3.65,3.8,0.88
1992-04-20,3.69,3.9,0.88
1992-04-21,3.68,3.9,0.88
1992-04-22,3.68,3.89,0.88
1992-04-23,3.67,3.92,0.88
1992-04-24,3.67,3.88,0.88
1992-04-27,3.71,3.89,0.88
1992-04-28,3.71,3.86,0.88
1992-04-29,3.71,3.89,0.88
1992-04-30,3.7,3.91,0.88
1992-05-01,3.63,3.93,0.85
1992-05-04,3.64,3.94,0.85
1992-05-05,3.64,3.92,0.85
1992-05-06,3.62,3.84,0.85
1992-05-07,3.62,3.87,0.85
1992-05-08,3.63,3.78,0.85
1992-05-11,3.64,3.76,0.85
1992-05-12,3.62,3.74,0.85
1992-05-13,3.59,3.75,0.85
1992-05-14,3.57,3.77,0.85
1992-05-15,3.58,3.7,0.85
1992-05-18,3.6,3.68,0.85
1992-05-19,3.54,3.66,0.85
1992-05-20,3.57,3.68,0.85
1992-05-21,3.67,3.72,0.85
1992-05-22,3.68,3.67,0.85
1992-05-25,3.68,3.67,0.85
1992-05-26,3.74,3.72,0.85
1992-05-27,3.7,3.74,0.85
1992-05-28,3.68,3.68,0.85
1992-05-29,3.7,3.63,0.85
1992-06-01,3.75,3.64,0.83
1992-06-02,3.74,3.61,0.83
1992-06-03,3.71,3.63,0.83
1992-06-04,3.69,3.65,0.83
1992-06-05,3.68,3.63,0.83
1992-06-08,3.68,3.63,0.83
1992-06-09,3.68,3.65,0.83
1992-06-10,3.68,3.67,0.83
1992-06-11,3.66,3.67,0.83
1992-06-12,3.66,3.63,0.83
1992-06-15,3.65,3.63,0.83
1992-06-16,3.64,3.6,0.83
1992-06-17,3.62,3.61,0.83
1992-06-18,3.61,3.58,0.83
1992-06-19,3.65,3.59,0.83
1992-06-22,3.64,3.6,0.83
1992-06-23,3.68,3.57,0.83
1992-06-24,3.64,3.56,0.83
1992-06-25,3.62,3.52,0.83
1992-06-26,3.62,3.53,0.83
1992-06-29,3.57,3.55,0.83
1992-06-30,3.57,3.57,0.83
1992-07-01,3.55,3.55,0.77
1992-07-02,3.24,3.69,0.77
1992-07-03,3.24,3.69,0.77
1992-07-06,3.22,3.68,0.77
1992-07-07,3.21,3.66,0.77
1992-07-08,3.22,3.69,0.77
1992-07-09,3.21,3.7,0.77
1992-07-10,3.22,3.71,0.77
1992-07-13,3.21,3.76,0.77
1992-07-14,3.21,3.76,0.77
1992-07-15,3.18,3.72,0.77
1992-07-16,3.17,3.7,0.77
1992-07-17,3.16,3.74,0.77
1992-07-20,3.18,3.72,0.77
1992-07-21,3.19,3.7,0.77
1992-07-22,3.17,3.68,0.77
1992-07-23,3.16,3.56,0.77
1992-07-24,3.16,3.57,0.77
1992-07-27,3.19,3.5,0.77
1992-07-28,3.19,3.44,0.77
1992-07-29,3.18,3.42,0.77
1992-07-30,3.18,3.51,0.77
1992-07-31,3.18,3.54,0.77
1992-08-01,3.18,3.54,0.7
1992-08-03,3.17,3.55,0.7
1992-08-04,3.17,3.49,0.7
1992-08-05,3.17,3.47,0.7
1992-08-06,3.16,3.49,0.7
1992-08-07,3.14,3.43,0.7
1992-08-10,3.13,3.39,0.7
1992-08-11,3.13,3.37,0.7
1992-08-12,3.12,3.36,0.7
1992-08-13,3.09,3.46,0.7
1992-08-14,3.06,3.47,0.7
1992-08-17,3.07,3.49,0.7
1992-08-18,3.07,3.41,0.7
1992-08-19,3.08,3.39,0.7
1992-08-20,3.08,3.38,0.7
1992-08-21,3.07,3.46,0.7
1992-08-24,3.15,3.53,0.7
1992-08-25,3.17,3.56,0.7
1992-08-26,3.16,3.52,0.7
1992-08-27,3.16,3.48,0.7
1992-08-28,3.16,3.47,0.7
1992-08-31,3.16,3.46,0.7
1992-09-01,3.15,3.41,0.7
1992-09-02,3.14,3.4,0.7
1992-09-03,3.14,3.4,0.7
1992-09-04,2.92,3.48,0.7
1992-09-07,2.92,3.48,0.7
1992-09-08,2.9,3.39,0.7
1992-09-09,2.91,3.4,0.7
1992-09-10,2.91,3.4,0.7
1992-09-11,2.92,3.45,0.7
1992-09-14,2.89,3.43,0.7
1992-09-15,2.92,3.48,0.7
1992-09-16,2.9,3.51,0.7
1992-09-17,2.88,3.52,0.7
1992-09-18,2.88,3.53,0.7
1992-09-21,2.91,3.51,0.7
1992-09-22,2.92,3.58,0.7
1992-09-23,2.92,3.62,0.7
1992-09-24,2.89,3.59,0.7
1992-09-25,2.8,3.61,0.7
1992-09-28,2.78,3.59,0.7
1992-09-29,2.73,3.64,0.7
1992-09-30,2.69,3.68,0.7
1992-10-01,2.61,3.62,0.85
1992-10-02,2.63,3.63,0.85
1992-10-05,2.64,3.6,0.85
1992-10-06,2.73,3.57,0.85
1992-10-07,2.83,3.63,0.85
1992-10-08,2.79,3.62,0.85
1992-10-09,2.83,3.69,0.85
1992-10-12,2.83,3.69,0.85
